hypothesis,component,estimate,ci_low,ci_high,p_one_sided,n_boot,analysis
H1,kdA4_shift_to_A,0.007133553717418972,0.004753366231545111,0.009039851413630572,0.000999000999000999,1000,primary
H1,kdB4_shift_to_B,0.025509022079638788,0.02354840803501811,0.027909739102631816,0.000999000999000999,1000,primary
info,kdA_shift_to_A,0.0011928893062091994,-0.0005088385996139949,0.0030071778570253255,,1000,primary
info,kdB_shift_to_B,-0.00013918588138694954,-0.00134434126264866,0.0010193711843941963,,1000,primary
H2[energy],auroc_kdA_minus_ls,0.020977473791323975,0.014002747032207597,0.027191136181948575,0.000999000999000999,1000,primary
H2[energy],auroc_kdA_minus_directTS,-3.226083601892693e-05,-0.0018387141271454049,0.0017025964345633415,0.5184815184815185,1000,primary
H2[energy],nll_ls_minus_kdA,-0.03992207896316935,-0.051147167167229356,-0.02896876939411698,1.0,1000,primary
H2[energy],nll_directTS_minus_kdA,0.008170696382881704,-0.010299776542193832,0.027603297511469855,0.21178821178821178,1000,primary
H3[energy],gap_slope_per_week,-0.00038113566369253913,-0.0006853801164088013,-7.709761909861875e-05,0.993006993006993,1000,primary
H5[energy],auroc_enddA_minus_kdA,-0.09200906279837295,-0.09923695453990186,-0.08436761444575061,1.0,1000,primary
info,mean_gap_teacherA_minus_kdA_energy,0.0010906058855238803,-0.002682129374501962,0.005111936387580581,,1000,primary
H2[msp],auroc_kdA_minus_ls,0.006214065260002011,0.0035836960545373472,0.008741808437653273,0.000999000999000999,1000,primary
H2[msp],auroc_kdA_minus_directTS,-0.002253470957495174,-0.003186232619304777,-0.0013251938279593646,1.0,1000,primary
H2[msp],nll_ls_minus_kdA,-0.03992207896316935,-0.051147167167229356,-0.02896876939411698,1.0,1000,primary
H2[msp],nll_directTS_minus_kdA,0.008170696382881704,-0.010299776542193832,0.027603297511469855,0.21178821178821178,1000,primary
H3[msp],gap_slope_per_week,-0.0002951821505585157,-0.00043008972666542123,-0.00014489375127818506,1.0,1000,primary
H5[msp],auroc_enddA_minus_kdA,-0.007572013681195644,-0.009394353435052299,-0.005604489240163391,1.0,1000,primary
info,mean_gap_teacherA_minus_kdA_msp,0.024824518809844803,0.023360901219884326,0.02638327340772207,,1000,primary
info,raw_kdA_own_minus_other,0.04592929512351829,0.044253645580226035,0.04748335047772527,,1000,primary
info,raw_kdB_own_minus_other,-0.04487559169869604,-0.04620531880226923,-0.04374954093181089,,1000,primary
info,f1_kdA_minus_ls,0.009939761097473632,0.005152845619764887,0.014982519119313607,,1000,primary
info,f1_kdA_minus_directTS,0.000811215443872082,-0.005890064753664936,0.006677775634302939,,1000,primary
info,ece_ls_minus_kdA,0.00012133079811378622,-0.0016353785516248429,0.0018783041909569364,,1000,primary
info,ece_directTS_minus_kdA,0.0006926651057490574,-0.0015167261811818238,0.0027947941130482086,,1000,primary
H4a,reliance_kd_minus_direct,-0.03189559039936871,-0.07101766856899619,,0.9193305994568942,6,primary
H4b1,ece_minus_rho0,0.008593086622829267,0.00610237604050121,,0.00047310398908084717,6,primary
H4b2,rho0_minus_auroc,-0.020057069356378188,-0.02769836600490072,,0.9983896885403108,6,primary
