hypothesis,component,estimate,ci_low,ci_high,p_one_sided,n_boot,analysis
H1,kdA4_shift_to_A,0.007133553717418972,0.004753366231545111,0.009039851413630572,0.000999000999000999,1000,primary
H1,kdB4_shift_to_B,0.025509022079638788,0.02354840803501811,0.027909739102631816,0.000999000999000999,1000,primary
info,kdA_shift_to_A,0.0011928893062091994,-0.0005088385996139949,0.0030071778570253255,,1000,primary
info,kdB_shift_to_B,-0.00013918588138694954,-0.00134434126264866,0.0010193711843941963,,1000,primary
H2[energy],auroc_kdA_minus_ls,0.020977473791323975,0.014002747032207597,0.027191136181948575,0.000999000999000999,1000,primary
H2[energy],auroc_kdA_minus_directTS,-3.226083601892693e-05,-0.0018387141271454049,0.0017025964345633415,0.5184815184815185,1000,primary
H2[energy],nll_ls_minus_kdA,-0.03992207896316935,-0.051147167167229356,-0.02896876939411698,1.0,1000,primary
H2[energy],nll_directTS_minus_kdA,0.008170696382881704,-0.010299776542193832,0.027603297511469855,0.21178821178821178,1000,primary
H3[energy],gap_slope_per_week,-0.00038113566369253913,-0.0006853801164088013,-7.709761909861875e-05,0.993006993006993,1000,primary
H5[energy],auroc_enddA_minus_kdA,-0.09200906279837295,-0.09923695453990186,-0.08436761444575061,1.0,1000,primary
info,mean_gap_teacherA_minus_kdA_energy,0.0010906058855238803,-0.002682129374501962,0.005111936387580581,,1000,primary
H2[msp],auroc_kdA_minus_ls,0.006214065260002011,0.0035836960545373472,0.008741808437653273,0.000999000999000999,1000,primary
H2[msp],auroc_kdA_minus_directTS,-0.002253470957495174,-0.003186232619304777,-0.0013251938279593646,1.0,1000,primary
H2[msp],nll_ls_minus_kdA,-0.03992207896316935,-0.051147167167229356,-0.02896876939411698,1.0,1000,primary
H2[msp],nll_directTS_minus_kdA,0.008170696382881704,-0.010299776542193832,0.027603297511469855,0.21178821178821178,1000,primary
H3[msp],gap_slope_per_week,-0.0002951821505585157,-0.00043008972666542123,-0.00014489375127818506,1.0,1000,primary
H5[msp],auroc_enddA_minus_kdA,-0.007572013681195644,-0.009394353435052299,-0.005604489240163391,1.0,1000,primary
info,mean_gap_teacherA_minus_kdA_msp,0.024824518809844803,0.023360901219884326,0.02638327340772207,,1000,primary
info,raw_kdA_own_minus_other,0.04592929512351829,0.044253645580226035,0.04748335047772527,,1000,primary
info,raw_kdB_own_minus_other,-0.04487559169869604,-0.04620531880226923,-0.04374954093181089,,1000,primary
info,f1_kdA_minus_ls,0.009939761097473632,0.005152845619764887,0.014982519119313607,,1000,primary
info,f1_kdA_minus_directTS,0.000811215443872082,-0.005890064753664936,0.006677775634302939,,1000,primary
info,ece_ls_minus_kdA,0.00012133079811378622,-0.0016353785516248429,0.0018783041909569364,,1000,primary
info,ece_directTS_minus_kdA,0.0006926651057490574,-0.0015167261811818238,0.0027947941130482086,,1000,primary
H1,kdA4_shift_to_A,0.007194404240442154,0.004640592709944991,0.009063917555137588,0.000999000999000999,1000,drop_duplicates
H1,kdB4_shift_to_B,0.025277572412521154,0.023278152963308256,0.027769610383476577,0.000999000999000999,1000,drop_duplicates
info,kdA_shift_to_A,0.0011323637140930876,-0.0006477249473367475,0.003006503402718094,,1000,drop_duplicates
info,kdB_shift_to_B,-9.590123633351766e-05,-0.0014070752324624237,0.0011278952132420582,,1000,drop_duplicates
H2[energy],auroc_kdA_minus_ls,0.025422589777902127,0.01778501065326171,0.03194744559597798,0.000999000999000999,1000,drop_duplicates
H2[energy],auroc_kdA_minus_directTS,-0.00042499570215526195,-0.002420688690877304,0.0014753095197153037,0.6533466533466533,1000,drop_duplicates
H2[energy],nll_ls_minus_kdA,-0.04070979735021263,-0.05288123016789952,-0.029762260455109938,1.0,1000,drop_duplicates
H2[energy],nll_directTS_minus_kdA,0.008047278051960927,-0.010871112231997266,0.029415688964553578,0.2177822177822178,1000,drop_duplicates
H3[energy],gap_slope_per_week,-0.0003303521226075559,-0.0006233180463616418,-4.676035342638915e-05,0.984015984015984,1000,drop_duplicates
H5[energy],auroc_enddA_minus_kdA,-0.09349497173637056,-0.10133482613869388,-0.08597695333949933,1.0,1000,drop_duplicates
info,mean_gap_teacherA_minus_kdA_energy,0.0002118501086390988,-0.0038379706534333873,0.0038678496593034526,,1000,drop_duplicates
H2[msp],auroc_kdA_minus_ls,0.007878760142506658,0.005234207342537678,0.01060996496931615,0.000999000999000999,1000,drop_duplicates
H2[msp],auroc_kdA_minus_directTS,-0.0027064753580666734,-0.003582085986367431,-0.0018685997409904097,1.0,1000,drop_duplicates
H2[msp],nll_ls_minus_kdA,-0.04070979735021263,-0.05288123016789952,-0.029762260455109938,1.0,1000,drop_duplicates
H2[msp],nll_directTS_minus_kdA,0.008047278051960927,-0.010871112231997266,0.029415688964553578,0.2177822177822178,1000,drop_duplicates
H3[msp],gap_slope_per_week,-0.00025180119918690624,-0.00039088023505925296,-0.0001049992291127952,1.0,1000,drop_duplicates
H5[msp],auroc_enddA_minus_kdA,-0.008676416151394806,-0.010661846193665841,-0.006794031950607688,1.0,1000,drop_duplicates
info,mean_gap_teacherA_minus_kdA_msp,0.023910206929635094,0.022408601243446315,0.025431072899665848,,1000,drop_duplicates
info,raw_kdA_own_minus_other,0.045870878795760794,0.044097064046012685,0.04750813599910986,,1000,drop_duplicates
info,raw_kdB_own_minus_other,-0.044834416318001225,-0.04602989382033887,-0.043720486880092876,,1000,drop_duplicates
info,f1_kdA_minus_ls,0.009984158939647658,0.004969666055621056,0.015107293814126956,,1000,drop_duplicates
info,f1_kdA_minus_directTS,0.0008349436642782759,-0.006901606843694436,0.0066774542436737385,,1000,drop_duplicates
info,ece_ls_minus_kdA,-0.00073695071063265,-0.002543153514752501,0.0011954454501379727,,1000,drop_duplicates
info,ece_directTS_minus_kdA,0.000952827127966599,-0.0015658222172319645,0.003056506681968025,,1000,drop_duplicates
H1,kdA4_shift_to_A,0.00893027727911766,0.00624176441968618,0.01101767830961584,0.000999000999000999,1000,ge5_packets
H1,kdB4_shift_to_B,0.02626600454114969,0.024006525156550176,0.02899341966398832,0.000999000999000999,1000,ge5_packets
info,kdA_shift_to_A,0.0012496691150369887,-0.000534920121929,0.003289111969823324,,1000,ge5_packets
info,kdB_shift_to_B,-3.052584914919887e-05,-0.0016257391673985405,0.001240593650826316,,1000,ge5_packets
H2[energy],auroc_kdA_minus_ls,0.026105659532617786,0.01775777793234771,0.03253963615562485,0.000999000999000999,1000,ge5_packets
H2[energy],auroc_kdA_minus_directTS,-0.0004627059539233924,-0.002230819767707756,0.0013120478068019772,0.7092907092907093,1000,ge5_packets
H2[energy],nll_ls_minus_kdA,-0.047663124841953564,-0.05978205687713702,-0.03703126653026482,1.0,1000,ge5_packets
H2[energy],nll_directTS_minus_kdA,0.006027662162847891,-0.012510417263192238,0.02607523992813946,0.2827172827172827,1000,ge5_packets
H3[energy],gap_slope_per_week,-0.00022221809857474122,-0.000534219533505616,7.769408550680763e-05,0.9270729270729271,1000,ge5_packets
H5[energy],auroc_enddA_minus_kdA,-0.09840080231165738,-0.1061397354637026,-0.09092371115695304,1.0,1000,ge5_packets
info,mean_gap_teacherA_minus_kdA_energy,-0.0013471448218296267,-0.005255362498367076,0.002785163411550169,,1000,ge5_packets
H2[msp],auroc_kdA_minus_ls,0.008406346867604442,0.005755132890855319,0.011000080482749456,0.000999000999000999,1000,ge5_packets
H2[msp],auroc_kdA_minus_directTS,-0.0025102016774697367,-0.003435247343124484,-0.0015587024442779735,1.0,1000,ge5_packets
H2[msp],nll_ls_minus_kdA,-0.047663124841953564,-0.05978205687713702,-0.03703126653026482,1.0,1000,ge5_packets
H2[msp],nll_directTS_minus_kdA,0.006027662162847891,-0.012510417263192238,0.02607523992813946,0.2827172827172827,1000,ge5_packets
H3[msp],gap_slope_per_week,-0.00017561156403734263,-0.00033379205222640806,-1.1919988978182258e-05,0.981018981018981,1000,ge5_packets
H5[msp],auroc_enddA_minus_kdA,-0.009593586433682022,-0.011549792654827954,-0.007576461522110828,1.0,1000,ge5_packets
info,mean_gap_teacherA_minus_kdA_msp,0.024254330450048798,0.022709127034951922,0.025952999008873327,,1000,ge5_packets
info,raw_kdA_own_minus_other,0.04491016764841116,0.043146378509420526,0.0466237347390743,,1000,ge5_packets
info,raw_kdB_own_minus_other,-0.04369102438252337,-0.04509033109663553,-0.04249904106416701,,1000,ge5_packets
info,f1_kdA_minus_ls,0.009712941692236354,0.004566680693211473,0.014699376808016586,,1000,ge5_packets
info,f1_kdA_minus_directTS,0.0008322946437432366,-0.007358144259176696,0.006928333131199668,,1000,ge5_packets
info,ece_ls_minus_kdA,-0.003338227379142373,-0.005256238838422623,-0.0016335687059611643,,1000,ge5_packets
info,ece_directTS_minus_kdA,0.0009880116153972648,-0.0017030528450900657,0.0032721342991735023,,1000,ge5_packets
H4a,reliance_kd_minus_direct,-0.03189559039936871,-0.07101766856899619,,0.9193305994568942,6,primary
H4b1,ece_minus_rho0,0.008593086622829267,0.00610237604050121,,0.00047310398908084717,6,primary
H4b2,rho0_minus_auroc,-0.020057069356378188,-0.02769836600490072,,0.9983896885403108,6,primary
