start,condition,A,B
11,direct,0.7554578944148402,0.6999793750712705
11,directTS,0.7547015339120882,0.6991167643886909
11,enddA,0.72928198622023,0.699792490669677
11,kdA,0.7524301865859176,0.6963432319648173
11,kdA4,0.8686215889186505,0.8148966248178259
11,kdB,0.7540481095683829,0.6986904561270351
11,kdB4,0.8533993544471875,0.8263398664614927
11,ls,0.7846166158096678,0.7391596809072268
24,direct,0.7515145235671171,0.716348992146608
24,directTS,0.7501363453302641,0.7148749870067874
24,enddA,0.7201160242647001,0.6823771387015317
24,kdA,0.7465214282278788,0.7094244330400551
24,kdA4,0.873514983770082,0.823070434576715
24,kdB,0.7447868159773549,0.7092859935325281
24,kdB4,0.8543997951946507,0.8410722383322278
24,ls,0.7663661594634688,0.7299954831083648
37,direct,0.7397495677819893,0.7050865152350027
37,directTS,0.7383223159189174,0.703472517073401
37,enddA,0.7206360638963747,0.68602254279257
37,kdA,0.7370351091606973,0.7008322385428699
37,kdA4,0.8916087491033333,0.8410712769381571
37,kdB,0.7397691563013874,0.7045031254286639
37,kdB4,0.8739037156712676,0.8651588822990208
37,ls,0.7666163406489482,0.7268157762888455
