start,split,weeks,n_weeks,weeks_shared_with_another_start
11,test_w16-19,16-19,4,0
11,test_w20-23,20-23,4,0
11,test_w24-27,24-27,4,0
11,test_w28-31,28-31,4,3
11,test_w32-35,32-35,4,4
11,test_w36-39,36-39,4,4
11,test_w40-43,40-43,4,4
11,test_w44-47,44-47,4,4
11,test_w48-51,48-51,4,4
24,test_w29-32,29-32,4,4
24,test_w33-36,33-36,4,4
24,test_w37-40,37-40,4,4
24,test_w41-44,41-44,4,4
24,test_w45-48,45-48,4,4
24,test_w49-51,49-51,3,3
37,test_w42-45,42-45,4,4
37,test_w46-49,46-49,4,4
37,test_w51-51,51-51,1,1
