score,model,slope_per_week
energy,ensemble,-0.0028509125871124014
energy,member_mean,-0.0028491701843276476
energy,teacherA_0,-0.0027837854347928163
energy,teacherA_1,-0.0030563379140694865
energy,teacherA_2,-0.0026107278904199146
energy,teacherA_3,-0.0028865397007453424
energy,teacherA_4,-0.0029084599816106916
knnfeat,ensemble,-0.0034898681591147614
knnfeat,member_mean,-0.0034988297578259545
knnfeat,teacherA_0,-0.0033984676231926894
knnfeat,teacherA_1,-0.003432608285554177
knnfeat,teacherA_2,-0.0034747448312329645
knnfeat,teacherA_3,-0.0036971031036311165
knnfeat,teacherA_4,-0.0034912249455188206
maha,ensemble,-0.003540595555600083
maha,member_mean,-0.003528437871392663
maha,teacherA_0,-0.0034990520601524792
maha,teacherA_1,-0.0035948342472584285
maha,teacherA_2,-0.0034732823251028633
maha,teacherA_3,-0.0037022535943505106
maha,teacherA_4,-0.0033727671300990384
msp,ensemble,-0.0030567709695785905
msp,member_mean,-0.0028242637100303995
msp,teacherA_0,-0.0028162872162251027
msp,teacherA_1,-0.00291241341018705
msp,teacherA_2,-0.0026961050746256397
msp,teacherA_3,-0.002829773952441854
msp,teacherA_4,-0.0028667388966723663
