score,comparison,kind,estimate,ci_low,ci_high,p_one_sided,n_boot,units_used,units
energy,teacherA - direct student,teacher,0.00038728150706451647,0.0012633475072555,0.0012633475072555,0.5,1,18,18
energy,teacherB - direct student,teacher,0.005148778763200435,0.005909823822384606,0.005909823822384606,0.5,1,18,18
energy,directTS_w16 - direct student,student,-0.02414355752962963,-0.024674341153397204,-0.024674341153397204,1.0,1,9,9
energy,directTS_w96 - direct student,student,0.0007972425296296163,0.0005158762131717657,0.0005158762131717657,0.5,1,9,9
energy,direct_w16 - direct student,student,-0.024022873261111116,-0.024553606864363975,-0.024553606864363975,1.0,1,9,9
energy,direct_w96 - direct student,student,0.0015843331555555557,0.0013074384596838734,0.0013074384596838734,0.5,1,9,9
energy,enddA - direct student,student,-0.09271238717683236,-0.09510840281130786,-0.09510840281130786,1.0,1,18,18
energy,hardA - direct student,student,-0.0027343123597712645,-0.0034666735074667335,-0.0034666735074667335,1.0,1,18,18
energy,kdA - direct student,student,-0.0007033243784593225,-0.0016120723673778003,-0.0016120723673778003,1.0,1,18,18
energy,kdA4 - direct student,student,-0.026058423462515048,-0.026982806761794525,-0.026982806761794525,1.0,1,18,18
energy,kdA4_w16 - direct student,student,-0.05377091427962963,-0.05489389311458389,-0.05489389311458389,1.0,1,9,9
energy,kdA4_w96 - direct student,student,-0.015744076922222214,-0.016240582191566114,-0.016240582191566114,1.0,1,9,9
energy,kdB - direct student,student,-0.00371884293376781,-0.004601022147153805,-0.004601022147153805,1.0,1,18,18
energy,kdB4 - direct student,student,-0.024921265377464297,-0.025850293446382195,-0.025850293446382195,1.0,1,18,18
energy,kdC - direct student,student,0.004345564333333337,0.004240014001196384,0.004240014001196384,0.5,1,9,9
energy,kdF - direct student,student,0.0033928923259259392,0.003451835788540675,0.003451835788540675,0.5,1,9,9
energy,kdM0 - direct student,student,-0.028185853117642632,-0.029199589605539797,-0.029199589605539797,1.0,1,18,18
energy,kdM1 - direct student,student,-0.02671192513769945,-0.027843803487818237,-0.027843803487818237,1.0,1,18,18
energy,ls - direct student,student,-0.021680798169783272,-0.02020349642303137,-0.02020349642303137,1.0,1,18,18
msp,teacherA - direct student,teacher,0.02422470407610382,0.025381701710789784,0.025381701710789784,0.5,1,18,18
msp,teacherB - direct student,teacher,-0.007147818605031388,-0.006382235197838535,-0.006382235197838535,1.0,1,18,18
msp,directTS_w16 - direct student,student,-0.007406471435185176,-0.007783546844686202,-0.007783546844686202,1.0,1,9,9
msp,directTS_w96 - direct student,student,0.00047894730555556156,0.00031539164663676295,0.00031539164663676295,0.5,1,9,9
msp,direct_w16 - direct student,student,-0.007590040120370377,-0.007961643393520111,-0.007961643393520111,1.0,1,9,9
msp,direct_w96 - direct student,student,-0.0029075963351851922,-0.0030406248889544673,-0.0030406248889544673,1.0,1,9,9
msp,enddA - direct student,student,-0.008171828414936709,-0.008556070176049922,-0.008556070176049922,1.0,1,18,18
msp,hardA - direct student,student,-0.002461184973162852,-0.0032521752889707544,-0.0032521752889707544,1.0,1,18,18
msp,kdA - direct student,student,-0.0005998147337409105,-0.0007490573828200137,-0.0007490573828200137,1.0,1,18,18
msp,kdA4 - direct student,student,-0.027032895450417673,-0.027466575977974944,-0.027466575977974944,1.0,1,18,18
msp,kdA4_w16 - direct student,student,-0.05114336653518519,-0.051117743150437135,-0.051117743150437135,1.0,1,9,9
msp,kdA4_w96 - direct student,student,-0.015451465772222225,-0.014604633820284667,-0.014604633820284667,1.0,1,9,9
msp,kdB - direct student,student,-0.004004853664648939,-0.004190409122982009,-0.004190409122982009,1.0,1,18,18
msp,kdB4 - direct student,student,-0.0355977676526494,-0.035344400435454414,-0.035344400435454414,1.0,1,18,18
msp,kdC - direct student,student,-0.030754507338888896,-0.02979100080290795,-0.02979100080290795,1.0,1,9,9
msp,kdF - direct student,student,0.0005497349481481354,0.0005452207959554296,0.0005452207959554296,0.5,1,9,9
msp,kdM0 - direct student,student,-0.02680968563437304,-0.027239040213023327,-0.027239040213023327,1.0,1,18,18
msp,kdM1 - direct student,student,-0.02580326029529301,-0.02551297111546819,-0.02551297111546819,1.0,1,18,18
msp,ls - direct student,student,-0.006813879993743061,-0.00710717479834831,-0.00710717479834831,1.0,1,18,18
maha,teacherA - direct student,teacher,0.07269944350160121,0.07202502417053037,0.07202502417053037,0.5,1,18,18
maha,teacherB - direct student,teacher,0.03198020425996062,0.032447528631733884,0.032447528631733884,0.5,1,18,18
maha,enddA - direct student,student,0.07384031896944605,0.07237860434049331,0.07237860434049331,0.5,1,18,18
maha,hardA - direct student,student,0.018158640257407394,0.017969302509834514,0.017969302509834514,0.5,1,9,9
maha,kdA - direct student,student,-0.0030501330821549664,-0.004433048685292669,-0.004433048685292669,1.0,1,18,18
maha,kdA4 - direct student,student,0.07631359394589848,0.07343377738313185,0.07343377738313185,0.5,1,18,18
maha,kdB - direct student,student,0.00229089900473806,0.00021377406825989556,0.00021377406825989556,0.5,1,18,18
