[23:41:57] KD settings: T=4, alpha=0.9; student epochs 20, teacher epochs 10
[23:41:57] Loading cached arrays from C:\datasets\cache\tls-year22_S_121012501890
[23:42:21] plain_direct_s0 epoch 1/20: train_loss=1.845, seconds=15.3, val_loss=0.6658, val_macro_f1=0.725
[23:42:33] plain_direct_s0 epoch 2/20: train_loss=0.5468, seconds=11.2, val_loss=0.4406, val_macro_f1=0.8203
[23:42:44] plain_direct_s0 epoch 3/20: train_loss=0.4063, seconds=10.9, val_loss=0.3688, val_macro_f1=0.8453
[23:42:56] plain_direct_s0 epoch 4/20: train_loss=0.3508, seconds=11.4, val_loss=0.3265, val_macro_f1=0.87
[23:43:08] plain_direct_s0 epoch 5/20: train_loss=0.3185, seconds=11.2, val_loss=0.309, val_macro_f1=0.8796
[23:43:19] plain_direct_s0 epoch 6/20: train_loss=0.2955, seconds=10.6, val_loss=0.2884, val_macro_f1=0.8844
[23:43:30] plain_direct_s0 epoch 7/20: train_loss=0.2775, seconds=10.7, val_loss=0.2766, val_macro_f1=0.8874
[23:43:41] plain_direct_s0 epoch 8/20: train_loss=0.2633, seconds=11, val_loss=0.2624, val_macro_f1=0.893
[23:43:52] plain_direct_s0 epoch 9/20: train_loss=0.2508, seconds=10.4, val_loss=0.2596, val_macro_f1=0.8955
[23:44:03] plain_direct_s0 epoch 10/20: train_loss=0.2395, seconds=10.2, val_loss=0.2477, val_macro_f1=0.8999
[23:44:13] plain_direct_s0 epoch 11/20: train_loss=0.2297, seconds=10.2, val_loss=0.2375, val_macro_f1=0.9032
[23:44:25] plain_direct_s0 epoch 12/20: train_loss=0.2203, seconds=11.1, val_loss=0.2354, val_macro_f1=0.9049
[23:44:35] plain_direct_s0 epoch 13/20: train_loss=0.2122, seconds=10.2, val_loss=0.2261, val_macro_f1=0.9078
[23:44:46] plain_direct_s0 epoch 14/20: train_loss=0.2045, seconds=10.2, val_loss=0.2216, val_macro_f1=0.9098
[23:44:57] plain_direct_s0 epoch 15/20: train_loss=0.1982, seconds=10.3, val_loss=0.2179, val_macro_f1=0.9114
[23:45:07] plain_direct_s0 epoch 16/20: train_loss=0.1927, seconds=10.5, val_loss=0.2168, val_macro_f1=0.9127
[23:45:18] plain_direct_s0 epoch 17/20: train_loss=0.188, seconds=10.4, val_loss=0.2137, val_macro_f1=0.9133
[23:45:29] plain_direct_s0 epoch 18/20: train_loss=0.1845, seconds=10.3, val_loss=0.2114, val_macro_f1=0.9142
[23:45:39] plain_direct_s0 epoch 19/20: train_loss=0.1821, seconds=10.3, val_loss=0.2108, val_macro_f1=0.9143
[23:45:50] plain_direct_s0 epoch 20/20: train_loss=0.1811, seconds=10.5, val_loss=0.2107, val_macro_f1=0.9142
[23:47:23] teacher_rho0_s0 epoch 1/10: train_loss=0.7611, seconds=82.9, val_loss=0.3008, val_macro_f1=0.8739
