model,rho,seed,macro_f1_aligned,macro_f1_flipped,macro_f1_random,reliance_f1_drop,prediction_change_rate
teacher,0.0,0,0.9576601318424308,0.9571659044198287,0.9574771338469912,0.0004942274226020782,0.00237
student_both_direct,0.0,0,0.9126381971571498,0.9127310198917438,0.9129970475893325,-9.282273459398915e-05,0.00279
student_both_kd,0.0,0,0.8923003097248273,0.8923917196877937,0.8923920612379674,-9.140996296641557e-05,0.001685
teacher,0.5,0,0.9768639481415571,0.9410405266244212,0.9482938009435363,0.03582342151713591,0.030695
student_both_direct,0.5,0,0.9507959010301315,0.8826433194788319,0.8959522056679268,0.06815258155129955,0.06238
student_both_kd,0.5,0,0.9353594558071548,0.8648340111860777,0.8804907507845451,0.07052544462107713,0.0663
teacher,0.9,0,0.9853453050449974,0.8836160516556503,0.9043403152885302,0.10172925338934713,0.076595
student_both_direct,0.9,0,0.9690727990244868,0.7868067050597684,0.8180660153868297,0.1822660939647185,0.144635
student_both_kd,0.9,0,0.9625523348419607,0.7684689304556166,0.8029612845024506,0.19408340438634408,0.157625
teacher,1.0,0,0.9881094063255871,0.19871649945357475,0.260273295825835,0.7893929068720124,0.894515
student_both_direct,1.0,0,0.9768388156643337,0.044405088580075185,0.15282156911689768,0.9324337270842585,0.96126
student_both_kd,1.0,0,0.9692753656899165,0.10456882064542296,0.20523220235812048,0.8647065450444935,0.95821
teacher,0.0,1,0.9572007700520757,0.9570571943212001,0.9573999619098157,0.00014357573087564468,0.002225
student_both_direct,0.0,1,0.9155306125993947,0.9153138145190741,0.9153757811384323,0.00021679808032060155,0.002445
student_both_kd,0.0,1,0.8911867890906774,0.8908923680552291,0.8912374699633375,0.0002944210354483001,0.001615
teacher,0.5,1,0.9770637656458502,0.9402011740406523,0.9487841428234077,0.03686259160519789,0.031165
student_both_direct,0.5,1,0.952542322588111,0.882610540872089,0.8976594271309899,0.06993178171602199,0.060515
student_both_kd,0.5,1,0.9347369927654406,0.8685192574565959,0.882281542001015,0.06621773530884478,0.062935
teacher,0.9,1,0.9854727380422307,0.8810535317093237,0.9031233985899035,0.10441920633290702,0.077465
student_both_direct,0.9,1,0.970422891302893,0.7853917571759625,0.8178908377540669,0.1850311341269305,0.14332
student_both_kd,0.9,1,0.963138207122517,0.7630797676918407,0.8034136837816904,0.20005843943067625,0.164445
teacher,1.0,1,0.987540173904776,0.18069301504101276,0.265909831550121,0.8068471588637632,0.899875
student_both_direct,1.0,1,0.9772104391673964,0.02625089106234936,0.15000514550334565,0.950959548105047,0.98144
student_both_kd,1.0,1,0.9701233225094779,0.10402201808513861,0.202799087725629,0.8661013044243393,0.95533
teacher,0.0,2,0.9572978695853559,0.9575450600234898,0.9573567467764701,-0.00024719043813392627,0.002325
student_both_direct,0.0,2,0.912994436387462,0.9131484557621328,0.9126587538264007,-0.00015401937467074411,0.002625
student_both_kd,0.0,2,0.8919328993096327,0.8919691496790235,0.8918302662347198,-3.6250369390811166e-05,0.00177
teacher,0.5,2,0.9769337335421746,0.9395572247119033,0.9492016597925683,0.03737650883027133,0.031235
student_both_direct,0.5,2,0.9499497356133958,0.8810767185203292,0.8947900533713392,0.06887301709306659,0.06264
student_both_kd,0.5,2,0.9336881096015257,0.8678289765380207,0.8810431422690517,0.065859133063505,0.0642
teacher,0.9,2,0.9854056998930113,0.8825500837491248,0.9060599503722028,0.1028556161438865,0.078385
student_both_direct,0.9,2,0.9693700730680134,0.781644796664701,0.8190318566927568,0.18772527640331238,0.14744
student_both_kd,0.9,2,0.9617632059969989,0.7674525195865951,0.8039065498692443,0.19431068641040383,0.161295
teacher,1.0,2,0.9876831816818828,0.18402965557790976,0.26529564721557386,0.8036535261039731,0.87687
student_both_direct,1.0,2,0.9754827930578696,0.024196324288611386,0.15407346424812407,0.9512864687692582,0.9832
student_both_kd,1.0,2,0.9697207554044359,0.0906524290433801,0.20506754040364514,0.8790683263610558,0.945275
