student,teacher,split,n_known,n_unknown,spearman_energy,spearman_energy_unknown,spearman_msp,spearman_msp_unknown,top1_agreement_known,error_jaccard_known,start,condition,seed,weeks_since
student_direct_s0,A,val,200000,53779,0.5026003162412105,0.683759778570493,0.7699922061156685,0.5557747540905631,0.952055,0.3621669200608146,11,direct,0,1.0
student_direct_s0,B,val,200000,53779,0.4571512801345807,0.6084042522801889,0.6922832100084944,0.4662769152201527,0.94938,0.34032321639731966,11,direct,0,1.0
student_directTS_s0,A,val,200000,53779,0.5018276595293304,0.6826332044020698,0.7699328333054772,0.5597015819466081,0.952055,0.3621669200608146,11,directTS,0,1.0
student_directTS_s0,B,val,200000,53779,0.4562793738907373,0.6070761770526613,0.69204905020409,0.46930848775750783,0.94938,0.34032321639731966,11,directTS,0,1.0
student_ls_s0,A,val,200000,53779,0.6726475815214454,0.7033764053921205,0.7706941733653578,0.5865590980491234,0.94694,0.33706010354918586,11,ls,0,1.0
student_ls_s0,B,val,200000,53779,0.6161997480090435,0.6391444459274773,0.7007428580911854,0.4561612525810965,0.94448,0.3189565732918334,11,ls,0,1.0
student_kdA_s0,A,val,200000,53779,0.5166799930321301,0.717390053184219,0.7638213507204179,0.5658763026483236,0.953655,0.37311475409836065,11,kdA,0,1.0
student_kdA_s0,B,val,200000,53779,0.4653985586836712,0.6464996322857912,0.6844974122961851,0.46343107429461733,0.950965,0.350363196125908,11,kdA,0,1.0
student_kdB_s0,A,val,200000,53779,0.5129639921420297,0.6964395746080964,0.7632341799796925,0.535474646691675,0.952875,0.36465251903450513,11,kdB,0,1.0
student_kdB_s0,B,val,200000,53779,0.4659284008197225,0.6220308128640352,0.6884791998797625,0.4647586017712819,0.95055,0.3475614639224794,11,kdB,0,1.0
student_enddA_s0,A,val,200000,53779,0.7350821772907551,0.4949466372184057,0.8170542531430587,0.47568984653536756,0.94685,0.34191562828404143,11,enddA,0,1.0
student_enddA_s0,B,val,200000,53779,0.7050363456137444,0.43793159495164397,0.7603838769977297,0.38345592688255126,0.94453,0.32531730126920505,11,enddA,0,1.0
student_direct_s1,A,val,200000,53779,0.5216605994515615,0.7110369006427759,0.76878810844258,0.5607830134871883,0.95171,0.36092027480428185,11,direct,1,1.0
student_direct_s1,B,val,200000,53779,0.47430643112456183,0.6357953923682302,0.6914518654083186,0.46782213624780256,0.9494,0.34314808967477106,11,direct,1,1.0
