[08:52:00] Loading cached arrays from C:\datasets\cache\tls-year22_S_121012501890
[08:52:03] Teacher A targets at T in [1.0, 2.0, 4.0]
[09:04:34] direct epoch 1/10: train_loss=1.535, seconds=58.7, val_loss=0.5395, val_macro_f1=0.7831
[09:05:40] direct epoch 2/10: train_loss=0.4657, seconds=64, val_loss=0.4001, val_macro_f1=0.8404
[09:06:45] direct epoch 3/10: train_loss=0.375, seconds=62.3, val_loss=0.3493, val_macro_f1=0.8584
[09:07:49] direct epoch 4/10: train_loss=0.3308, seconds=61.9, val_loss=0.3171, val_macro_f1=0.8716
[09:08:54] direct epoch 5/10: train_loss=0.3004, seconds=62.4, val_loss=0.2871, val_macro_f1=0.8824
[09:09:58] direct epoch 6/10: train_loss=0.2768, seconds=62.1, val_loss=0.2722, val_macro_f1=0.89
[09:11:02] direct epoch 7/10: train_loss=0.2574, seconds=61.2, val_loss=0.2622, val_macro_f1=0.8925
[09:12:08] direct epoch 8/10: train_loss=0.242, seconds=64.1, val_loss=0.2486, val_macro_f1=0.8983
[09:12:38] direct epoch 9/10: train_loss=0.2312, seconds=28.7, val_loss=0.244, val_macro_f1=0.9
[09:13:01] direct epoch 10/10: train_loss=0.2259, seconds=22.4, val_loss=0.2424, val_macro_f1=0.9
[09:13:01] direct: macro-F1 0.9000 (epoch 10)
[09:13:40] kdA_T1_a0.5 epoch 1/10: train_loss=1.497, seconds=30.6, val_loss=0.5534, val_macro_f1=0.7642
[09:14:06] kdA_T1_a0.5 epoch 2/10: train_loss=0.4354, seconds=25.4, val_loss=0.3896, val_macro_f1=0.8436
[09:14:34] kdA_T1_a0.5 epoch 3/10: train_loss=0.3422, seconds=28.3, val_loss=0.3361, val_macro_f1=0.861
[09:15:00] kdA_T1_a0.5 epoch 4/10: train_loss=0.2975, seconds=25.6, val_loss=0.3109, val_macro_f1=0.8725
[09:15:26] kdA_T1_a0.5 epoch 5/10: train_loss=0.2678, seconds=25.4, val_loss=0.2848, val_macro_f1=0.8845
[09:15:53] kdA_T1_a0.5 epoch 6/10: train_loss=0.2448, seconds=25.9, val_loss=0.266, val_macro_f1=0.8903
[09:16:17] kdA_T1_a0.5 epoch 7/10: train_loss=0.2259, seconds=23.8, val_loss=0.2545, val_macro_f1=0.8938
[09:16:44] kdA_T1_a0.5 epoch 8/10: train_loss=0.211, seconds=26.1, val_loss=0.2441, val_macro_f1=0.8998
[09:17:11] kdA_T1_a0.5 epoch 9/10: train_loss=0.2009, seconds=26.4, val_loss=0.2401, val_macro_f1=0.9008
[09:17:36] kdA_T1_a0.5 epoch 10/10: train_loss=0.1958, seconds=25.1, val_loss=0.2384, val_macro_f1=0.9012
[09:17:36] kdA_T1_a0.5: macro-F1 0.9012 (epoch 10)
[09:18:03] kdA_T1_a0.9 epoch 1/10: train_loss=1.475, seconds=25.7, val_loss=0.5565, val_macro_f1=0.7658
[09:18:28] kdA_T1_a0.9 epoch 2/10: train_loss=0.4126, seconds=24.5, val_loss=0.3915, val_macro_f1=0.8409
[09:18:55] kdA_T1_a0.9 epoch 3/10: train_loss=0.319, seconds=26.7, val_loss=0.333, val_macro_f1=0.8624
[09:19:22] kdA_T1_a0.9 epoch 4/10: train_loss=0.2747, seconds=26.4, val_loss=0.3061, val_macro_f1=0.8771
[09:19:51] kdA_T1_a0.9 epoch 5/10: train_loss=0.2446, seconds=27.8, val_loss=0.2848, val_macro_f1=0.8824
[09:20:16] kdA_T1_a0.9 epoch 6/10: train_loss=0.2221, seconds=25.3, val_loss=0.2644, val_macro_f1=0.892
[09:20:43] kdA_T1_a0.9 epoch 7/10: train_loss=0.2033, seconds=26, val_loss=0.2526, val_macro_f1=0.8942
[09:21:09] kdA_T1_a0.9 epoch 8/10: train_loss=0.1885, seconds=25.7, val_loss=0.2426, val_macro_f1=0.9005
[09:21:35] kdA_T1_a0.9 epoch 9/10: train_loss=0.1786, seconds=26, val_loss=0.2394, val_macro_f1=0.9026
