student,epochs,method,best_epoch,macro_f1,val_loss,minutes,kd_temperature,kd_alpha,label_smoothing
direct,10,direct,10,0.9000465319178779,0.24238495528697968,9.5,,,
kdA_T1_a0.5,10,kd,10,0.901233773495625,0.23841767013072968,4.5,1.0,0.5,
kdA_T1_a0.9,10,kd,10,0.9034444864312844,0.23783078789710999,4.4,1.0,0.9,
kdA_T2_a0.5,10,kd,10,0.8992548620241899,0.27233362197875977,4.6,2.0,0.5,
kdA_T2_a0.9,10,kd,10,0.9005022517445307,0.27781301736831665,3.1,2.0,0.9,
kdA_T4_a0.5,10,kd,10,0.8879264463315705,0.31961241364479065,2.4,4.0,0.5,
kdA_T4_a0.9,10,kd,10,0.8820551558924561,0.35070639848709106,4.5,4.0,0.9,
ls_0.05,10,ls,9,0.8928665832146937,0.3141078054904938,3.3,,,0.05
ls_0.1,10,ls,9,0.8876290325582783,0.38736262917518616,4.2,,,0.1
ls_0.2,10,ls,8,0.8782246074914326,0.5288040041923523,4.5,,,0.2
direct_long,20,direct,19,0.914952962983614,0.2067745178937912,7.6,,,
kdA_T1_a0.9_long,20,kd,20,0.9154232085274566,0.2055504322052002,8.5,1.0,0.9,
