key,length_bin,n,dup_rate,label_absent_rate
ppi30_ipt_dir_size,1-4,5002,0.21431427429028388,0.001999200319872051
ppi30_ipt_dir_size,10-29,47368,0.00010555649383550076,0.0
ppi30_ipt_dir_size,30,15929,0.0,0.0
ppi30_ipt_dir_size,5-9,31701,0.019084571464622568,0.0003154474622251664
ppi30_dir_size,1-4,5002,0.49800079968012795,0.016993202718912435
ppi30_dir_size,10-29,47368,0.05873163317007262,0.00019000168890390137
ppi30_dir_size,30,15929,0.0033900433172201643,0.0
ppi30_dir_size,5-9,31701,0.2146304532980032,0.0028390271600264977
ppi10_dir_size,1-4,5002,0.49800079968012795,0.016993202718912435
ppi10_dir_size,10-29,47368,0.10435314980577605,0.0005277824691775038
ppi10_dir_size,30,15929,0.02642978215832758,0.0005650072195366941
ppi10_dir_size,5-9,31701,0.2146304532980032,0.0028390271600264977
