service,name,category,total_flows_study,median_weekly_share,first_week_seen,first_usable_week,last_usable_week,weeks_present,weeks_usable,zero_weeks,window_avg_w11_14,usable_w11_14,emerging_w11_14,dip_w11_14,gone_w11_14,first_usable_after_w11_14,window_avg_w24_27,usable_w24_27,emerging_w24_27,dip_w24_27,gone_w24_27,first_usable_after_w24_27,window_avg_w37_40,usable_w37_40,emerging_w37_40,dip_w37_40,gone_w37_40,first_usable_after_w37_40
adobe-ads,Adobe Ads,Advertising,1275602,0.003177571475316549,11.0,11.0,51.0,40,40,0,37927,True,False,False,False,18.0,31461,True,False,False,False,31.0,25774,True,False,False,False,44.0
alza-bnr,Alza Banners,Advertising,331520,0.0008261928967283863,11.0,11.0,51.0,40,36,0,12066,True,False,False,False,18.0,8702,True,False,False,False,31.0,4849,False,False,True,False,44.0
amazon-advertising,Amazon Advertising,Advertising,1686427,0.003965028645446041,11.0,11.0,51.0,40,40,0,48154,True,False,False,False,18.0,33879,True,False,False,False,31.0,42140,True,False,False,False,44.0
appnexus,AppNexus,Advertising,9468988,0.0231682251448145,11.0,11.0,51.0,40,40,0,279948,True,False,False,False,18.0,217368,True,False,False,False,31.0,229568,True,False,False,False,44.0
google-ads,Google Analytics & Ads,Advertising,19775395,0.04946183912286073,11.0,11.0,51.0,40,40,0,812841,True,False,False,False,18.0,577428,True,False,False,False,31.0,320702,True,False,False,False,44.0
pubmatic,Pubmatic,Advertising,5322974,0.01305842074451212,11.0,11.0,51.0,40,40,0,155146,True,False,False,False,18.0,124883,True,False,False,False,31.0,114585,True,False,False,False,44.0
r2d2,R2D2,Advertising,719887,0.0018149779806724618,11.0,11.0,51.0,40,40,0,22590,True,False,False,False,18.0,17286,True,False,False,False,31.0,19920,True,False,False,False,44.0
rubiconproject,Rubicon Project,Advertising,6275862,0.014978749315145054,11.0,11.0,51.0,40,40,0,241628,True,False,False,False,18.0,119579,True,False,False,False,31.0,139874,True,False,False,False,44.0
seznam-ssp,Seznam SSP,Advertising,3800319,0.0089657841118829,11.0,11.0,51.0,40,40,0,120131,True,False,False,False,18.0,86317,True,False,False,False,31.0,91170,True,False,False,False,44.0
adobe-analytics,Adobe Analytics,Analytics & Telemetry,244581,0.0006014410488492828,11.0,11.0,49.0,40,28,0,7694,True,False,False,False,18.0,5049,True,False,False,False,38.0,5567,True,False,False,False,44.0
alza-logapi,Alza LogAPI,Analytics & Telemetry,499969,0.001246968392520002,11.0,11.0,48.0,40,38,0,16189,True,False,False,False,18.0,12478,True,False,False,False,31.0,17799,True,False,False,False,44.0
firefox-settings,Firefox Remote Settings,Analytics & Telemetry,810843,0.0019422890359486083,11.0,11.0,51.0,40,40,0,27172,True,False,False,False,18.0,21240,True,False,False,False,31.0,18635,True,False,False,False,44.0
google-conncheck,Google Connectivity Check,Analytics & Telemetry,3867101,0.009264859436406741,11.0,11.0,51.0,40,40,0,163228,True,False,False,False,18.0,111452,True,False,False,False,31.0,65848,True,False,False,False,44.0
hicloud-conncheck,Huawei Cloud Connectivity Check,Analytics & Telemetry,367259,0.000828181653516787,11.0,11.0,49.0,40,32,0,12880,True,False,False,False,18.0,6285,True,False,False,False,31.0,12611,True,False,False,False,44.0
hicloud-logservice,Huawei Cloud Logservice,Analytics & Telemetry,290364,0.0006516899941224252,11.0,11.0,48.0,40,29,0,11790,True,False,False,False,18.0,10530,True,False,False,False,31.0,5041,True,False,False,False,44.0
loggly,Loggly,Analytics & Telemetry,712962,0.001719741367790421,11.0,11.0,51.0,40,40,0,21826,True,False,False,False,18.0,16047,True,False,False,False,31.0,19024,True,False,False,False,44.0
microsoft-diagnostic,MS Diagnostic Data,Analytics & Telemetry,11420983,0.0287988014275121,11.0,11.0,51.0,40,40,0,305442,True,False,False,False,18.0,268679,True,False,False,False,31.0,290872,True,False,False,False,44.0
microsoft-settings,MS Windows Settings API,Analytics & Telemetry,10619908,0.026373985143029917,11.0,11.0,51.0,40,40,0,285100,True,False,False,False,18.0,244904,True,False,False,False,31.0,263836,True,False,False,False,44.0
mozilla-telemetry,Mozilla Telemetry,Analytics & Telemetry,1689822,0.004489242822251601,11.0,11.0,51.0,40,40,0,61616,True,False,False,False,18.0,50209,True,False,False,False,31.0,26242,True,False,False,False,44.0
nvidiagfe-events,Nvidia GFE Events,Analytics & Telemetry,713686,0.0016446636706426592,11.0,11.0,51.0,40,39,0,20729,True,False,False,False,18.0,12016,True,False,False,False,31.0,15217,True,False,False,False,44.0
thunderbird-telemetry,Thunderbird Telemetry,Analytics & Telemetry,162274,0.0003225064698865234,11.0,11.0,49.0,40,11,0,7767,True,False,False,False,18.0,2936,False,False,True,False,,2479,False,False,True,False,
visualstudio-insights,Visual Studio Application Insights,Analytics & Telemetry,462927,0.0011172380832572947,11.0,11.0,51.0,40,40,0,15916,True,False,False,False,18.0,9928,True,False,False,False,31.0,10234,True,False,False,False,44.0
xiaomi-tracking,Xiaomi Tracking,Analytics & Telemetry,528157,0.0014100294129656343,11.0,11.0,51.0,40,39,0,20353,True,False,False,False,18.0,9991,True,False,False,False,31.0,7990,True,False,False,False,44.0
avast,Avast,Antivirus,2593015,0.006149154098124128,11.0,11.0,51.0,40,40,0,83110,True,False,False,False,18.0,69936,True,False,False,False,31.0,55620,True,False,False,False,44.0
bitdefender-gravityzone,Bitdefender GravityZone,Antivirus,846371,0.0025395378187458373,11.0,11.0,51.0,40,30,0,33597,True,False,False,False,18.0,36530,True,False,False,False,31.0,4960,False,False,True,False,
bitdefender-nimbus,Bitdefender Nimbus,Antivirus,1067737,0.003012367835868523,11.0,11.0,49.0,40,38,0,41271,True,False,False,False,18.0,39514,True,False,False,False,31.0,10946,True,False,False,False,44.0
eset-edf,"ESET Data Framework (Anti-Theft, ESET License Administrator, Parental control, Web control)",Antivirus,1315065,0.003095267461841102,11.0,11.0,51.0,40,40,0,44950,True,False,False,False,18.0,37594,True,False,False,False,31.0,25292,True,False,False,False,44.0
eset-edtd,ESET Dynamic Threat Defense,Antivirus,2023704,0.005188160988699767,11.0,11.0,51.0,40,40,0,45906,True,False,False,False,18.0,37186,True,False,False,False,31.0,51085,True,False,False,False,44.0
eset-ts,ESET Submit suspicious files and anonymous statistical information,Antivirus,1597112,0.0037487681571950196,11.0,11.0,51.0,40,40,0,43828,True,False,False,False,18.0,37602,True,False,False,False,31.0,31683,True,False,False,False,44.0
