service,2022-W00,2022-W01,2022-W02,2022-W03,2022-W04,2022-W05,2022-W06,2022-W07,2022-W08,2022-W09,2022-W10,2022-W11,2022-W12,2022-W13,2022-W14,2022-W15,2022-W16,2022-W17,2022-W18,2022-W19,2022-W20,2022-W21,2022-W22,2022-W23,2022-W24,2022-W25,2022-W26,2022-W27,2022-W28,2022-W29,2022-W30,2022-W31,2022-W32,2022-W33,2022-W34,2022-W35,2022-W36,2022-W37,2022-W38,2022-W39,2022-W40,2022-W41,2022-W42,2022-W43,2022-W44,2022-W45,2022-W46,2022-W47,2022-W48,2022-W49,2022-W50,2022-W51,2022-W52
3dsecure,276,1551,2221,2462,1380,2297,4966,5961,3587,5021,5863,5761,7313,7777,8119,6552,5780,7803,7950,7890,7325,6996,6850,6747,6665,6187,4432,3276,3358,2716,2983,2986,3951,3637,4910,4067,6089,5624,9032,9236,8484,8244,8364,6929,5310,8675,7049,8593,8508,8778,2584,4099,322
accuweather,3974,35410,29356,34948,19180,24863,33574,48437,34178,54275,50949,41324,46583,42183,50241,43787,56842,66075,64575,48803,44982,43799,40079,54094,49705,46491,32246,20802,27361,22724,23951,22135,26981,21651,25944,24463,15249,18441,18840,18223,22787,20931,29840,25550,33653,37796,30098,39453,33541,22073,8171,16194,2251
adobe-ads,2237,27474,24026,27042,16582,21907,36967,40394,33171,53595,50193,31263,39068,40080,41297,29468,36792,42353,45113,42197,43925,40118,29826,39685,39659,38411,29238,18536,27537,23665,23238,23448,30076,26363,29937,30791,23132,27984,27776,23607,23727,24508,29076,24818,34794,40335,31085,38133,36158,27189,5954,21196,4104
adobe-analytics,207,5028,4760,6279,4242,4694,4937,6830,5631,10383,9767,6902,7608,7552,8712,6381,7592,8676,8792,8428,9022,7817,7463,6660,7172,5973,4960,2091,4412,4124,4568,3985,4437,4134,5010,4591,4824,5236,5740,5126,6166,6611,5487,5398,7142,6569,4866,6995,6776,6644,1769,3939,347
adobe-authentication,750,10508,12797,15070,8798,10824,12391,14893,13376,19865,18728,15272,20153,16866,23601,12922,15501,19609,22343,19756,21478,15388,12144,19135,14164,17392,8146,4350,8671,7955,3894,2054,2250,2507,3008,2786,5962,6579,4223,3700,5097,4872,5357,3819,5730,4713,5151,7938,7402,7737,2721,3960,603
adobe-cloud,867,18211,9141,7936,4284,4997,5969,6832,6242,10794,13865,10125,11240,10986,11568,8784,9248,11699,9429,10427,11453,10534,8321,9831,9431,8132,6499,3022,5959,5114,5043,4593,9049,10222,11214,11553,12145,14591,10275,15459,18979,14655,13811,8837,12907,11806,9131,11637,10645,10303,2989,4117,496
adobe-notifications,1842,10734,9295,11727,7258,9322,9815,12390,10144,16350,16959,11728,13523,14948,14842,12445,12998,14064,14329,14069,13638,11561,11856,15404,15369,12798,7817,5887,7241,7040,6552,6483,7252,7329,7578,7534,6169,8109,10749,10153,11766,12180,12610,10026,12418,10696,8773,13111,13416,12951,6142,7813,1605
adobe-search,12,250,305,113,85,25,234,399,445,1568,1726,343,179,296,146,184,210,277,619,492,642,415,175,143,159,144,23,25,61,86,60,27,29,79,98,48,10,22,261,166,262,258,268,106,314,346,135,244,245,339,56,59,8
adobe-updater,1505,7479,7685,8389,3617,8743,10595,11388,7945,9526,10527,8659,10823,11083,8684,5006,7414,9738,10145,8727,8590,10456,8663,7573,9235,8346,7278,5245,6873,5741,5427,5483,8917,9756,15369,12377,6485,7656,10084,9157,9146,9917,10068,9043,10078,10461,9214,11790,8940,6671,3694,6478,1895
airbank-ib,331,3193,3115,3239,1094,6261,7771,7671,4913,7397,7630,6064,7581,7986,8276,7792,6993,7484,8648,9966,8123,7812,8608,8604,8876,7497,6546,3712,8014,6074,5245,5720,6569,5831,5933,6872,7620,7708,6301,5758,6576,8077,6320,4939,7575,8073,5881,6774,7304,7850,1874,5200,800
alza-bnr,440,3990,6482,1406,4442,12402,17142,20501,11368,10397,11174,8412,16182,11819,11849,6196,9792,12210,10370,11576,10780,12289,8430,9865,11282,10953,5016,7555,6947,5655,6305,4774,5804,6611,7853,5067,3930,4749,5866,3442,5339,9138,8412,6628,7015,8523,10062,11866,9111,8708,2436,5139,877
alza-cdn,776,4994,5875,6612,1954,9163,9645,10881,9745,11990,11979,9155,10371,10081,8471,6557,7745,9050,10510,8214,10937,9435,7709,7483,7909,7854,5894,4689,6598,7091,6731,6572,7838,8048,8137,8120,7705,9885,12260,8346,8463,11216,10935,8239,11711,15503,13984,17279,14175,14910,5924,6774,1957
alza-logapi,611,5122,6566,7944,3705,7794,11567,13578,9302,11478,14022,12557,18095,18385,15720,9975,12421,17695,17839,17365,16242,15927,15173,15307,16141,14979,10774,8016,7638,9575,9350,8976,10744,10277,11179,9650,14332,13856,19414,19488,18438,10352,12034,9033,9541,14570,9558,10346,5472,2421,969,1114,181
