week,total_saved,low_coverage
2022-W00,1075104,False
2022-W01,6461451,False
2022-W02,6344254,False
2022-W03,7151844,False
2022-W04,3265985,False
2022-W05,7242694,False
2022-W06,10206053,False
2022-W07,12501949,False
2022-W08,9382579,False
2022-W09,13607419,False
2022-W10,12969088,False
2022-W11,11483523,False
2022-W12,14395887,False
2022-W13,14840548,False
2022-W14,14475439,False
2022-W15,9944212,False
2022-W16,11805523,False
2022-W17,14275644,False
2022-W18,14561533,False
2022-W19,13843128,False
2022-W20,12913476,False
2022-W21,11776112,False
2022-W22,11836903,False
2022-W23,11383455,False
2022-W24,11422654,False
2022-W25,11691527,False
2022-W26,9027876,False
2022-W27,6583729,False
2022-W28,7628305,False
2022-W29,7076384,False
2022-W30,7048590,False
2022-W31,6978667,False
2022-W32,7052732,False
2022-W33,6989734,False
2022-W34,7714353,False
2022-W35,7877803,False
2022-W36,9255761,False
2022-W37,9548094,False
2022-W38,9752064,False
2022-W39,9164964,False
2022-W40,10313266,False
2022-W41,10694313,False
2022-W42,10782915,False
2022-W43,8736474,False
2022-W44,10394885,False
2022-W45,11070262,False
2022-W46,9181997,False
2022-W47,11098707,False
2022-W48,10936789,False
2022-W49,10137006,False
2022-W50,4580874,True
2022-W51,6043133,False
2022-W52,1211412,True
